name,age,agecontract,ageoptout,optout,optoutyear,contractyr,contractvalue,contractlength,position,war1,war2,war3,war4,war5,war6,war7,war8,war9,war10,war11,war12,war13,war14,war15,war16
J.D. Drew,40.078,29.078,31.078,1,2007,2005,55,5,OF,8.3,2.5,2.8,5.5,3.6,2.7,0.9,,,,,,,,,
Alex Rodriguez,40.194,25.194,32.194,1,2008,2001,252,10,SS,4.5,9.4,7.6,8.4,8.8,8.3,10.4,4.7,8.5,5.6,9.4,-0.4,-0.2,,,
A.J. Burnett,39.034,29.034,32.034,1,2009,2006,55,5,P,,,,,,,,,,,,,,,,
Rafael Soriano,36.049,31.049,32.049,1,2012,2011,35,3,P,,,,,,,,,,,,,,,,
Scott Kazmir,32.013,32.013,33.013,1,2017,2016,48,3,P,,,,,,,,,,,,,,,,
Justin Upton,28.165,28.165,30.165,1,2018,2016,132.8,6,OF,4.4,3.2,2.9,2.5,6.1,1.5,4,0.8,-0.6,,,,,,,
Yoenis Cespedes,30.111,30.111,31.111,1,2017,2016,75,3,OF,2.3,4,1.3,2.8,1.5,3.9,,,,,,,,,,
Rusney Castillo,28.212,26.212,31.212,1,2019,2014,72.5,7,OF,,,,,,,,,,,,,,,,
Wei-Yin Chen,30.207,30.207,32.207,1,2018,2016,80,5,P,,,,,,,,,,,,,,,,
Cliff Lee,37.211,32.211,0,0,0,2011,120,5,P,1.4,3.4,1.1,4.3,6.9,-0.8,2,2.5,0.3,0.5,0.6,,,,,
Zack Greinke,32.159,29.159,32.108,1,2016,2013,147,6,P,1.4,2.2,1.5,3.4,10.4,5.4,2.2,0.1,1,3.7,,,,,,
Zack Greinke,32.159,32.159,0,0,0,2016,206.5,6,P,9.3,4.3,3.9,1.4,2.2,1.5,3.4,10.4,5.4,2.2,0.1,1,3.7,,,
Adam Wainwright,34.211,32.211,0,0,0,2014,97.5,5,P,6.2,1.1,6.3,6.2,2.6,2.8,1.4,-0.1,,,,,,,,
